file,species
dfb1d9012.png,Loose Silky-bent
bffc08672.png,Scentless Mayweed
67ce3eaa6.png,Small-flowered Cranesbill
6908fb540.png,Sugar beet
856f2910a.png,Small-flowered Cranesbill
a1e0a6c02.png,Cleavers
711b46fba.png,Shepherds Purse
fdea6b119.png,Black-grass
9c777333d.png,Common Chickweed
6a47821f9.png,Loose Silky-bent
4823c3ffa.png,Scentless Mayweed
bea23d9f8.png,Scentless Mayweed
8dbb8e1b9.png,Charlock
54b3afd58.png,Cleavers
a8da9c08d.png,Charlock
fba8fc78a.png,Loose Silky-bent
c5e419015.png,Scentless Mayweed
a006a475c.png,Common Chickweed
c50335991.png,Fat Hen
e15fce4f2.png,Scentless Mayweed
8cf2e3e6c.png,Common Chickweed
a2b703e21.png,Small-flowered Cranesbill
338c7e907.png,Charlock
8d6acbe9b.png,Common Chickweed
ae90f2827.png,Common Chickweed
3da774107.png,Fat Hen
f23faf9c1.png,Loose Silky-bent
2df78338c.png,Common Chickweed
8311740de.png,Fat Hen
c8f50f0c3.png,Common wheat
241e6935a.png,Sugar beet
e721c6ac8.png,Loose Silky-bent
41e07778c.png,Cleavers
780bd2a2c.png,Sugar beet
6bce55e05.png,Cleavers
675ec1b0b.png,Small-flowered Cranesbill
a85b48a95.png,Scentless Mayweed
d350a25fa.png,Common Chickweed
9a3f20121.png,Loose Silky-bent
00d090cde.png,Loose Silky-bent
0fb233ad6.png,Small-flowered Cranesbill
26852751a.png,Charlock
53ceb4657.png,Common Chickweed
589e643b8.png,Shepherds Purse
835dc5447.png,Small-flowered Cranesbill
3abb502fb.png,Loose Silky-bent
5e6a237f2.png,Sugar beet
824f5d4e5.png,Sugar beet
de0b79659.png,Fat Hen
a5db42f7d.png,Maize
9fab816f2.png,Fat Hen
00c47e980.png,Sugar beet
74d810f87.png,Loose Silky-bent
2d9c798f9.png,Small-flowered Cranesbill
e5e3dccff.png,Common wheat
b130a0632.png,Cleavers
3dd52bd2a.png,Small-flowered Cranesbill
e783f5a4f.png,Sugar beet
06d12f6fa.png,Shepherds Purse
87f627bf9.png,Common Chickweed
8a4d3a1b1.png,Loose Silky-bent
b687160f5.png,Small-flowered Cranesbill
1364b297a.png,Cleavers
30ad31220.png,Charlock
5bd71f445.png,Common Chickweed
e96e57a90.png,Shepherds Purse
cae684f8f.png,Charlock
e3f50adfc.png,Cleavers
39c8fde99.png,Loose Silky-bent
47b7d8e17.png,Small-flowered Cranesbill
1d0cbd819.png,Loose Silky-bent
1be0713da.png,Cleavers
e82017baa.png,Loose Silky-bent
bd789d151.png,Common Chickweed
995c7ab1e.png,Common wheat
cd6adba97.png,Small-flowered Cranesbill
e1a0e3202.png,Loose Silky-bent
148bbda66.png,Charlock
0ae6668fa.png,Loose Silky-bent
da231c97f.png,Scentless Mayweed
86676d627.png,Fat Hen
0c4199daa.png,Loose Silky-bent
1f3f44563.png,Maize
93d76fd5d.png,Small-flowered Cranesbill
e1abb4ff9.png,Sugar beet
bf3924a57.png,Common Chickweed
61b044411.png,Loose Silky-bent
377283a21.png,Maize
da5255450.png,Common Chickweed
1821eb11a.png,Scentless Mayweed
0086a6340.png,Common Chickweed
78750e0ff.png,Charlock
75cb95e91.png,Charlock
6d6eb3830.png,Shepherds Purse
a2d25b4f3.png,Loose Silky-bent
3edf5e9ef.png,Scentless Mayweed
953496deb.png,Fat Hen
dce2f6612.png,Common Chickweed
1f290e016.png,Scentless Mayweed
65d08b894.png,Sugar beet
d93c7ab6d.png,Loose Silky-bent
d84d37a61.png,Common Chickweed
8104422bb.png,Common Chickweed
8db450ce3.png,Common Chickweed
d09d24c58.png,Loose Silky-bent
3d65168c2.png,Common Chickweed
444473900.png,Fat Hen
c0d9e170b.png,Small-flowered Cranesbill
f9b6bfb00.png,Cleavers
60fea2ef6.png,Sugar beet
d2fd9df40.png,Loose Silky-bent
3fbf1a417.png,Cleavers
e98e5d1d5.png,Black-grass
a169b71e7.png,Charlock
c7ae30f3a.png,Scentless Mayweed
79e5ea8fa.png,Black-grass
9c0c5b731.png,Loose Silky-bent
16fd2e01a.png,Small-flowered Cranesbill
4392d93cf.png,Fat Hen
53e6e9000.png,Common wheat
f6d250856.png,Shepherds Purse
4287d810c.png,Common Chickweed
1376f3b63.png,Loose Silky-bent
fadc6adbc.png,Charlock
bb1c84bbc.png,Loose Silky-bent
122913909.png,Maize
b62dca166.png,Fat Hen
0751c0bbc.png,Sugar beet
6edb96d45.png,Charlock
647689543.png,Loose Silky-bent
24d78df74.png,Common Chickweed
77ccb8b2a.png,Small-flowered Cranesbill
dabea05f4.png,Loose Silky-bent
a060c1cf8.png,Maize
26e7ae885.png,Fat Hen
88d8a4508.png,Common wheat
3281183f9.png,Scentless Mayweed
8cfd98117.png,Scentless Mayweed
3fbd0fc6a.png,Shepherds Purse
2dd5cfba9.png,Shepherds Purse
46c14fde2.png,Loose Silky-bent
eef131644.png,Loose Silky-bent
cc3d2a59a.png,Sugar beet
cbe761896.png,Charlock
2b55a2da2.png,Charlock
8e4eaeec0.png,Common Chickweed
b39c71707.png,Maize
5b3beec58.png,Loose Silky-bent
97b2f0a10.png,Small-flowered Cranesbill
13b9fa92d.png,Sugar beet
7fdb7202d.png,Scentless Mayweed
c7b07431e.png,Scentless Mayweed
dc55449b2.png,Sugar beet
7691014a1.png,Charlock
